signal_id,app_id,review_text,review_score,review_date,helpful_count
pm_app1_review_34,1,"This app was a good one, until recently, when it just stopped working on android (Samsung galaxy note 9 here). It just crashes in the middle of the process, when I pick a receiver from the list of receivers it saved from my previous transactions. Please take care, it's been more than 3 weeks since it behaves like that. Had to use an old iOS device to send money. It works as expected on iOS, no complaints.",1,2019-09-24,169
pm_app1_review_35,1,"App has become very intrusive. After declining to store my debit card, I had to decline once again during processing my transfer. Also, despite using a debit card in my name as it appears in my WU account, it requested that I enter my ID details.. and upon completion of the transfer I was presented with several Ads before seeing the final transfer result and that stinks. I think I am going to uninstall this intrusive app.",1,2024-11-15,21
pm_app1_review_36,1,"Useless for people who actually care about security. Refuses to work on rooted devices. Edit: Telling us it won't work on rooted devices doesn't require anything other than a rooted device. If you intended this behavior (which I believe from the message in the app), you do not need to know my device. Remove the offending code, and let people have their secure and rooted devices with your app. Otherwise, simply admit that you don't offer a service to those who secure their phones through rooting.",1,2023-09-27,22
pm_app1_review_37,1,Not loving the new look/update. Took multiple attempts to send. Updated 9/1/2023: lost a star since your app can't seem to save my address change. I changed it almost 3 years ago and have to input the information every time only for it to be unchanged on the final page. 12/01/2023 Fully connected yet told I had. To connect to a service or WiFi. My address change still won't stick.,1,2023-12-01,36
pm_app1_review_38,1,"Barely usable. I am able to use it most of the time, but with my teeth loudly grinding. At every step (you are forced to go through many steps/screens) the rotating ""loading"" circle can become infinite, never-ending, requiring to close and reopen the App, restart the process. The App is unable to tell which location has which restriction (amount to be sent, if they do transactions initiated on the smartphone, etc.), so frustration continues when I have to drive from one location to another. Bad.",1,2020-12-26,70
pm_app1_review_39,1,"This is the third time that when I'm receiving money from a friend, I'd use the app to sign up for pick up and as soon as I get to the store to pick up cash the system would say that it is unavailable even if the app and the website says it is available. I waste time and gas money, having to call/chat customer rep and then drive back up again to the store and redo the whole process. The chat option in the app didn't even work beyond the putting tracking # in so I had to call instead.",1,2023-11-05,4
pm_app1_review_40,1,"I think it's ridiculous to charge twice as much fees then a store . I understand the app should be convenient , but charging $22 to send $100 when the store only charges $10. the store is all over my town , neasrest one I can walk to . I would even use the app even if you charge me $3 more . Maybe add a feature to the app so you can at least see if the person have a store nearby. Only the ones not leaving no where near a store will pay that. there are plenty apps that help wire money easy $0 fee",1,2018-12-21,1
pm_app1_review_41,1,"App works usually but the added popups for so called ""discounts"" and such is completely unwanted anr annoying since it moves the decline button wherever it feels like. Your fees are already too high, stop penny pinching. Edit: Now ads that make the app sluggish and load slower. Plus right next to the next button. Now removing two more stars to make this app one star. It almost doesn't do it's only function.",1,2023-10-08,6
pm_app1_review_42,1,How does preventing screen capture become a more secure feature? It's quite idiotic. This is in line with the premise of forcing users to use extremely long and complex passwords. The result is that the user inevitably creates a spreadsheet with all of their passwords or write them down on a post it note and stick it on the screen. It does not make using the app more secure period! It actually does the opposite.,1,2019-08-06,69
pm_app1_review_43,1,"they've added fee even for bank to bank transfers and exchange rate is not good. other apps are giving better rates than western union. only reason I used this before was, it didn't charge a fee for bank to bank transfers and now it does. will not use anymore 👎 On top of that there are several pop-ups within the app and also there is another hookup which keeps on asking if I want to add Chase bank account. Very annoying. That's why I avoid using it",1,2023-06-01,173
